ID,BareGround,BioRegion,Biome,Year,Month,aspect,blue,bsi,calcite,chlorite,clay,dolomite,elevation,evi,exg,goethite,green,gypsum,hematite,illite_muscovite,kaolinite,landforms,meanAnnualPrecipitation,msavi,ndmi,ndvi,nir,nitrogen,osavi,ph,phosphorous,potassium,red,sand,satvi,savi,silt,slope,soc,soil_depth,stone,swir1,swir2,swirRatio,tc_bright,tc_green,tc_wet,vegType,vermiculite,.geo
J_0202,20,Inland Saline Vegetation,Azonal Vegetation,2015,3,0.673355659,0.052733218,0.255243696,0,0,18.0405341,0,827.1282785,0.103638506,-0.021238175,0,0.085951005,0,0.123529419,0,0,5,318,0.105470821,-0.178542459,0.190896125,0.213367528,56.62517883,0.153512871,73.56795422,22.05865522,51.32904149,0.142286649,58.69575584,0.199030765,0.120942001,19.36623748,1.527788387,195.420124,178.7520267,12.60467334,0.299065435,0.243220892,1.234616981,0.412649404,0.039037605,-0.21617553,9,0,"{""type"":""Point"",""coordinates"":[24.57553727697839,-32.216287195876866]}"
J_0204,30,Inland Saline Vegetation,Azonal Vegetation,2015,3,-0.281008914,0.052307622,0.249901889,0.052941177,0,20.22942289,0,834.4172185,0.091785819,-0.004254131,0.059803925,0.090710604,0,0,0.052941177,0,5,323.6906339,0.093519362,-0.178858315,0.160595198,0.190472613,65,0.13164454,75.22942289,24.77057711,52.24503311,0.134199645,56.98438978,0.188169832,0.106507667,19.22942289,2.66779979,193.4148534,179.1712394,15.77057711,0.271309322,0.213544791,1.276696706,0.377433098,0.031569279,-0.187441829,9,0,"{""type"":""Point"",""coordinates"":[24.4639304367117,-32.1749914610209]}"
J_0533,95,Inland Saline Vegetation,Azonal Vegetation,2016,12,-1.33E-05,0.168305387,0.159374778,0,0,,0,914,0.061139688,-0.001345049,0.039215688,0.258058899,0,0.067647062,0.047058824,0,5,149,0.064863217,-0.04202941,0.077711683,0.4049359,,0.073586981,,,,0.343441165,,-0.086185636,0.06837906,,0.103095901,148.396726,,,0.431318172,0.398432358,1.083156302,0.792506051,0.01554525,-0.247213828,8,0,"{""type"":""Point"",""coordinates"":[20.5098671685791,-30.474593538108287]}"
J_0242,45,Inland Saline Vegetation,Azonal Vegetation,2016,3,0.889528086,0.057044414,0.216672657,0.040306507,0,21.39895883,0,818.3596782,0.081716447,-0.002510754,0.064657631,0.096809829,0,0.008831417,0.040306507,0,5,329,0.079792157,-0.12466319,0.157761266,0.189424817,62.34548036,0.125414078,74.53147184,24.82725982,51,0.138688883,52.52011358,0.140708396,0.094899906,21.94841458,2.175489889,210.0501656,168.1050639,14.29578798,0.243218288,0.195585389,1.24359804,0.36856133,0.027094689,-0.154906811,9,0,"{""type"":""Point"",""coordinates"":[24.49086340707451,-32.21912318414686]}"
J_0243,25,Inland Saline Vegetation,Azonal Vegetation,2016,3,-0.233218777,0.042576253,0.225684527,0,0,21.77793696,0,1124,0.138147824,-4.95E-04,0.049019609,0.079073533,0,0.049019609,0,0,5,352,0.137309323,-0.149128572,0.272675755,0.203082563,60.39780325,0.210672087,73.17287488,23.01671442,52.63658071,0.116066141,54.48615091,0.246755223,0.159344337,19.89111748,1.314090331,250.6676218,196.0262655,13.27029608,0.274300411,0.21710075,1.26634467,0.374806204,0.051172332,-0.19652339,9,0,"{""type"":""Point"",""coordinates"":[24.604860325505847,-32.0697834307659]}"
J_0651,60,Inland Saline Vegetation,Azonal Vegetation,2017,12,-9.41E-04,0.090812087,0.220429578,0.012950404,0,16.85411765,0,787,0.095434644,-5.22E-04,0.068837834,0.16356624,0,0.094819247,0.047827221,0.014800462,5,274,0.102693814,-0.117091401,0.142224517,0.315357004,55.63105882,0.127826968,77.67058824,22.28988235,54.41929412,0.236842347,61.69364706,0.075688403,0.111845467,18.18352941,8.73E-04,175.9054118,146.9181176,15.96141176,0.399111989,0.333308423,1.198494089,0.617295759,0.038019969,-0.256495291,9,0,"{""type"":""Point"",""coordinates"":[23.642644286485925,-32.87581053718677]}"
J_0693,70,Inland Saline Vegetation,Azonal Vegetation,2018,5,-0.763416811,0.054032571,0.189808789,0.005919666,0,20.79543292,0,841.7816365,0.126116819,0.001692851,0,0.079529213,0,0.056966599,0,0,5,238,0.11486705,-0.137611978,0.254788315,0.175546174,60.82350143,0.186802436,75.34490961,22.9414843,52.35870599,0.105685984,53.54852521,0.214967504,0.136184576,20.19885823,1.267632631,221.3501427,155.4590866,14.16555661,0.228799973,0.190247729,1.207023516,0.332215093,0.03698362,-0.162449781,9,0,"{""type"":""Point"",""coordinates"":[22.916203215666947,-32.53018115543314]}"
J_0984,90,Inland Saline Vegetation,Azonal Vegetation,2019,11,-0.842331168,0.103591942,0.256946213,0,0,22.68990043,0,1171.949739,0.124613679,0.006964477,0,0.157067509,0,0,0,0,5,371,0.118043227,-0.227302227,0.174150531,0.29126501,62.11806543,0.152252188,73,18.81650071,53,0.201755581,57.22427691,0.176420774,0.129988143,18.71834993,2.054894866,381.6842105,193.7567568,8.320531057,0.465406681,0.387873166,1.194778021,0.6281522,0.029686923,-0.346235954,9,0,"{""type"":""Point"",""coordinates"":[25.169065922697307,-31.977350725029016]}"
J_1010,75,Inland Saline Vegetation,Azonal Vegetation,2019,11,0.800096774,0.080935761,0.266252166,7.74E-04,0,22.43268777,0,1029.586679,0.106170463,0.017972812,0,0.139181953,0,0,0,0,5,487,0.102610284,-0.22163827,0.170363162,0.248726523,73.1525744,0.142653247,69.98205007,27,50,0.177632819,51.82947567,0.189674278,0.116110675,18.56731223,5.51661589,636.9551252,200,12.43268777,0.389758749,0.323245344,1.208029808,0.533381196,0.023834502,-0.287348764,9,0,"{""type"":""Point"",""coordinates"":[25.6204161313271,-32.52245799240856]}"
J_1021,65,Inland Saline Vegetation,Azonal Vegetation,2019,11,-0.986502019,0.044632223,0.233841737,6.30E-04,0,26.68602455,0,861.7067989,0.116363756,-0.003772214,0,0.082570558,0,0.001101668,6.30E-04,0,5,380,0.116422965,-0.155933989,0.223224069,0.196894602,77.12228517,0.179979383,68.98394712,25.26581681,50.01605288,0.125485315,51.33002833,0.217059907,0.136126949,19.29792257,7.479385826,457.5807365,191.0009443,13.31397545,0.273675869,0.218406272,1.283678658,0.377605992,0.043489555,-0.194213284,9,0,"{""type"":""Point"",""coordinates"":[25.787971312511377,-32.2771539252564]}"
J_0777,65,Inland Saline Vegetation,Azonal Vegetation,2019,11,0.117936686,0.076784714,0.22489591,0.005847107,0,21,0,796,0.089443479,-0.010677136,0,0.130256606,0,0.078396129,0.005847107,0,5,317,0.092560749,-0.13252189,0.14471493,0.262851584,59.52790918,0.124518468,74.86802271,23.86802271,52,0.196563087,58.26395459,0.105643401,0.10374751,19,0.600663639,207.7492904,185.0761589,13,0.340833372,0.291663135,1.1776646,0.518206041,0.031718821,-0.229609242,9,0,"{""type"":""Point"",""coordinates"":[24.551953091506718,-32.20331121181135]}"
J_0797,65,Inland Saline Vegetation,Azonal Vegetation,2019,12,-0.758249368,0.064993343,0.233334538,0.038598257,0,23.05475504,0,1417.93708,0.067439918,-0.00127434,0.065625811,0.113854012,0,0.072703475,0.039164204,0.037254903,5,249,0.067942862,-0.141187898,0.123617823,0.209878578,62.02401537,0.100047399,79.02401537,24,53.97598463,0.163989024,52.02401537,0.111167,0.078863557,19.03938521,1.590045333,210.995082,155.2776177,14.93659942,0.279590421,0.244348351,1.143230119,0.427913192,0.017556633,-0.189876939,8,0,"{""type"":""Point"",""coordinates"":[22.548840175378814,-31.425251587197682]}"
J_0819,90,Inland Saline Vegetation,Azonal Vegetation,2019,12,0.525694886,0.138525193,0.143096948,0.001844274,0,21.26859903,0,918.0623188,0.064513424,8.46E-04,0.052869976,0.21195857,0,0.066593731,0.040828836,0,6,149,0.06415152,-0.007679183,0.08230268,0.335066789,50.99613527,0.076367704,78.56618357,18,51,0.287067305,64.86763285,-0.068352998,0.069158218,18,1.21109002,131.7696078,120.4009662,12,0.339939624,0.305484301,1.117532984,0.645489791,0.017870114,-0.173332754,8,0,"{""type"":""Point"",""coordinates"":[20.466310669489037,-30.49716104853977]}"
J_0827,100,Inland Saline Vegetation,Azonal Vegetation,2019,12,-0.02754355,0.101662932,0.219747104,0.054022187,0,18,0.052155367,1032,0.06807163,-0.009750258,0.07119194,0.172940686,0,0.072918539,0.029374346,0,5,183,0.071664494,-0.114333935,0.099205792,0.307770872,59,0.089640193,82,19,53.59923664,0.251389375,61.40076336,0.034518729,0.078508374,19,0.322093095,131.5949427,140,14,0.385266071,0.334444848,1.157778284,0.6195229,0.020540686,-0.243782629,8,0,"{""type"":""Point"",""coordinates"":[20.179808967704083,-31.45898022756594]}"
J_1034,55,Inland Saline Vegetation,Azonal Vegetation,2020,3,0.12246073,0.054638368,0.139604213,0.00631901,0,21,0,796,0.168088585,0.005423183,0,0.101096684,0,0.078868032,0.00631901,0,5,317,0.168056393,-0.033158971,0.286357559,0.252840665,59.47470449,0.236782622,74.88132388,23.88132388,52,0.141640637,58.23735225,0.172006062,0.189399438,19,0.598642498,207.9782506,185.1692671,13,0.27310333,0.218086587,1.255706758,0.426584012,0.071257525,-0.170118337,9,0,"{""type"":""Point"",""coordinates"":[24.55195755060777,-32.20331121181135]}"
J_1039,10,Inland Saline Vegetation,Azonal Vegetation,2020,3,0,0.036073952,0.026466952,0,0,19.99617408,0,998,0.27945589,0.019440295,0,0.070646317,0,0.084313728,0,0,5,335,0.27558361,0.07994655,0.492398548,0.262764805,56.95408895,0.391287904,72.02343376,20.09230033,52.97991392,0.091331982,61.95504543,0.284528415,0.303183573,16.8842659,0,264.5987566,200,10.91296031,0.225509192,0.147373898,1.563988823,0.354400016,0.121657105,-0.119932004,8.910329986,0,"{""type"":""Point"",""coordinates"":[25.40358788350224,-31.899508197939017]}"
J_1164,70,Inland Saline Vegetation,Azonal Vegetation,2020,7,-0.763841765,0.047355764,0.225188937,0.038598432,0,23.05430082,0,1417.977415,0.075903887,0.004712544,0.0656255,0.086913534,0,0.072703549,0.039164179,0.037254903,5,249,0.073939581,-0.132208443,0.161231925,0.168480972,62.02450745,0.120196522,79.02450745,24,53.97549255,0.12175876,52.02450745,0.149743144,0.088514651,19.03940413,1.578230182,208.9784382,155.2801538,14.93608842,0.220757308,0.189228907,1.167275108,0.333152769,0.021365596,-0.150482831,8,0,"{""type"":""Point"",""coordinates"":[22.548840175378814,-31.425220373490305]}"
J_1180,5,Inland Saline Vegetation,Azonal Vegetation,2020,8,-0.853500959,0.076393942,0.216923657,0,0,22.70442646,0,1171.936697,0.131671883,-0.007007227,0,0.121109705,0,0,0,0,5,371,0.129343952,-0.149508828,0.206606527,0.260326607,62.09376487,0.175518131,73,18.79485959,53,0.171624121,57.23702999,0.202294237,0.144692285,18.69300333,2.038795449,381.6330319,193.7463113,8.315564017,0.35429954,0.23357984,1.517215219,0.488228767,0.055510404,-0.213009821,9,0,"{""type"":""Point"",""coordinates"":[25.169065922697307,-31.97735518413008]}"
J_1406,100,Inland Saline Vegetation,Azonal Vegetation,2021,1,-0.030005464,0.092661415,0.217934383,0.054021404,0,18,0.052154806,1032,0.071516786,-0.007930233,0.071189574,0.157339084,0,0.072916181,0.029360338,0,5,183,0.075807119,-0.111459656,0.107819647,0.283963738,59,0.096295618,82,19,53.59895088,0.229198889,61.40104912,0.054046572,0.083437572,19,0.341388578,131.4000954,140,14,0.354170746,0.301044613,1.183839014,0.563890769,0.024573371,-0.223204897,8,0,"{""type"":""Point"",""coordinates"":[20.17980450860303,-31.45898022756594]}"
J_1414,90,Inland Saline Vegetation,Azonal Vegetation,2021,1,0.534181181,0.115430315,0.149680413,0.001829435,0,21.23855422,0,918.0766265,0.065399646,-0.002546416,0.052879912,0.181328528,0,0.066436571,0.040817011,0,6,149,0.066131813,-0.019807608,0.090627227,0.301643473,50.94168675,0.081672901,78.54506024,18,51,0.249434852,64.90987952,-0.033921412,0.072044904,18,1.24495565,131.9951028,120.3286747,12,0.31430737,0.277812006,1.12616548,0.574630396,0.020742271,-0.165731276,8,0,"{""type"":""Point"",""coordinates"":[20.46630175128693,-30.497165507640823]}"
J_1651,60,Inland Saline Vegetation,Azonal Vegetation,2021,8,0.148954189,0.063241247,0.217366732,0.00492294,0,21,0,796,0.092485318,-0.009569095,0,0.102123356,0,0.077471962,0.00492294,0,5,317,0.091602316,-0.13039808,0.167786812,0.213569294,59.6466952,0.135263527,74.8383262,23.8383262,52,0.152686776,58.3233476,0.14549959,0.105987345,19,0.626045502,206.7731812,184.8682834,13,0.278696866,0.232679385,1.198952051,0.417144373,0.031819491,-0.187987538,9,0,"{""type"":""Point"",""coordinates"":[24.55194417330461,-32.203337966417656]}"
J_1826,40,Inland Saline Vegetation,Azonal Vegetation,2022,5,-0.758048156,0.042306165,0.15235849,0.03850973,0,23.0259366,0,1417.979827,0.136114981,0.007375151,0.06578403,0.075165256,0,0.072665803,0.039176761,0.037254903,5,249,0.129697661,-0.06050283,0.283111767,0.179496741,62.03362152,0.209042382,79.03362152,24,53.96637848,0.101375978,52.03362152,0.199973388,0.153040714,19.02977906,1.57008866,208.49683,155.2872238,14.93659942,0.204778301,0.162526845,1.266322008,0.310468779,0.049020654,-0.131423761,8,0,"{""type"":""Point"",""coordinates"":[22.548835716277754,-31.4252203734903]}"
J_1855,55,Inland Saline Vegetation,Azonal Vegetation,2022,6,0.126795131,0.047953984,0.159856132,0.006811732,0,21,0,796,0.137503561,0.005842404,0,0.082216499,0,0.079360754,0.006811732,0,5,317,0.133755318,-0.059099488,0.266765126,0.196271945,59.42005676,0.205264652,74.89498581,23.89498581,52,0.114370243,58.21002838,0.184694602,0.155607756,19,0.596508643,208.2218543,185.2649007,13,0.223688622,0.179212577,1.254678866,0.340450186,0.051955985,-0.143961297,9,0,"{""type"":""Point"",""coordinates"":[24.551962009708824,-32.20331121181134]}"
J_1856,0,Inland Saline Vegetation,Azonal Vegetation,2022,7,0.452100235,0.037917978,0.191650436,0,0,19.14,0,1049.59,0.152794513,0.005696567,0,0.064750983,0,0,0,0,5.65952381,340,0.142818012,-0.130184861,0.332946241,0.171606904,62,0.238177639,74.86,22,53,0.085887421,59.14,0.295048856,0.169741876,17.86,1.6234997,314.9942857,200,7.86,0.222958391,0.147534734,1.511426685,0.29668322,0.05483894,-0.143052508,9,0,"{""type"":""Point"",""coordinates"":[25.308007052421623,-31.805113487738616]}"
W_0104,80,Inland Saline Vegetation,Azonal Vegetation,2023,10,0.1219731,0.087085803,0.176893171,0.006340682,0.024537923,21.86424474,0,1049,0.122391082,5.10E-04,0.018599333,0.141969771,0,0,0.010145091,0,5,171,0.120705264,-0.08339221,0.185433362,0.287748757,59.1209369,0.160057306,75.09130019,22.7791587,51.01147228,0.195427236,58.20315488,0.09955425,0.13410441,19.64196941,0.630481447,,161.2863289,14.56739962,0.338818195,0.297655008,1.131896756,0.536835853,0.04244887,-0.223360617,4.668977055,0,"{""type"":""Point"",""coordinates"":[20.945102186001733,-31.393186191522343]}"
W_0126,100,Inland Saline Vegetation,Azonal Vegetation,2023,10,-0.316437331,,,0,0,22.72628598,0,649.3402548,,,0,,0,0.044771243,0.077677502,0,5,137,,,,,56.02170835,,79.84898537,21.86314299,49.8131194,,53.52571968,,,18.1868806,1.404258632,91.09674375,106.2453988,17.65455403,,,,,,,9,0,"{""type"":""Point"",""coordinates"":[21.8312147473425,-32.54858832458176]}"
W_0127,90,Inland Saline Vegetation,Azonal Vegetation,2023,10,0.525104007,,,0,0,22.13722697,0,649.4662868,,,0,,0,0.049754903,0.081372552,0,5,137,,,,,53.85137702,,79.76210826,20.86562203,50,,56.15194682,,,19.1994302,2.647705492,105.6994302,103.7060779,17.86562203,,,,,,,9,0,"{""type"":""Point"",""coordinates"":[21.83032738623286,-32.548775606826005]}"
W_0129,80,Inland Saline Vegetation,Azonal Vegetation,2023,10,0.368878653,0.043669522,0.128458913,0,0,,0,578.9111531,0.030592991,0.020625179,0,0.079843534,0,0.022516587,0.068908332,0,5,141,0.027757818,0.026566812,0.080110123,0.111994982,,0.052429348,,,,0.095392368,,-0.00460914,0.035205743,,2.21570253,120.5193762,,,0.106243146,0.088187145,1.204559512,0.212498018,0.004279028,-0.041539707,9,0,"{""type"":""Point"",""coordinates"":[21.915456084444198,-32.701745068464454]}"
J_2005,10,Inland Saline Vegetation,Azonal Vegetation,2023,4,-0.081435403,0.059167501,0.191520097,0.034435688,0,22.89569378,0,1431.514833,0.141841932,-5.40E-04,0,0.092792771,0,0.037010977,0.021038559,0,5,400,0.138797237,-0.11895719,0.262601489,0.216526036,66.30095694,0.208318999,75.02009569,21.01435407,53.0492823,0.127628178,55.21339713,0.221244873,0.160368095,21.67368421,0.826846012,278.6210526,183.2976077,11.29138756,0.275410601,0.217345319,1.281832251,0.394826045,0.053076046,-0.186851651,9,0,"{""type"":""Point"",""coordinates"":[24.60129750376415,-31.814963641965683]}"
J_2016,0,Inland Saline Vegetation,Azonal Vegetation,2023,6,-0.853500959,0.048738861,0.214700065,0,0,22.70442646,0,1171.936697,0.109300011,0.003313733,0,0.077554792,0,0,0,0,5,371,0.104595517,-0.150773371,0.218916329,0.163194004,62.09376487,0.166064682,73,18.79485959,53,0.105223327,57.23702999,0.227822249,0.123754478,18.69300333,2.038795449,381.6330319,193.7463113,8.315564017,0.234505644,0.153652919,1.546309092,0.314067525,0.038712962,-0.145784666,9,0,"{""type"":""Point"",""coordinates"":[25.169065922697307,-31.97735518413008]}"
J_2057,25,Inland Saline Vegetation,Azonal Vegetation,2023,9,-5.72E-05,0.063968839,0.223150449,0.031862747,0,18,0,913.5753027,0.102421248,-1.77E-04,0.068627454,0.108304898,0,0.089215688,0.025490196,0,5.215012107,185,0.101396509,-0.141819181,0.180600316,0.218683171,48.85423729,0.148022737,82.71525424,18,54,0.153881722,60,0.159725851,0.116854092,18,0.440478397,166.8150121,183.4237288,14,0.293471911,0.239071061,1.232773709,0.427068497,0.034215181,-0.199009923,8,0,"{""type"":""Point"",""coordinates"":[21.588978541715107,-29.930899805762678]}"
W_0164,95,Inland Saline Vegetation,Azonal Vegetation,2024,7,-0.310658803,0.065745311,0.154791728,0,0,22.74988202,0,649.3345918,0.097611494,0.017472281,0,0.108378538,0,0.044771243,0.077663159,0,5,137,0.090646908,-0.062714774,0.179263307,0.192432254,56.03775366,0.139659564,79.86314299,21.87494101,49.81359132,0.133792217,53.4624823,0.113887173,0.10638626,18.18640868,1.413664985,90.96083058,106.1826333,17.65077867,0.218075971,0.182964829,1.197472881,0.359513564,0.028032806,-0.130246572,9,0,"{""type"":""Point"",""coordinates"":[21.831210288241447,-32.548588324581765]}"
W_0166,90,Inland Saline Vegetation,Azonal Vegetation,2024,7,0.365359061,0.053841031,0.099165645,0,0,,0,578.9115839,0.096139561,0.022520669,0,0.093558287,0,0.022622723,0.068939779,0,5,141,0.088069336,0.025160046,0.198434516,0.169966672,,0.145595484,,,,0.110085947,,0.07680331,0.105726078,,2.228645647,120.5437352,,,0.156549744,0.125403525,1.252223204,0.286401628,0.030246158,-0.075237381,9,0,"{""type"":""Point"",""coordinates"":[21.915456084444195,-32.70174952756552]}"
W_0168,65,Inland Saline Vegetation,Azonal Vegetation,2024,7,0.096878047,0.049305729,0.004767877,0.052851883,0,22.75539906,0,519.2230047,0.213027122,0.030500816,6.94E-04,0.090235876,0,4.54E-04,0.082020394,0,5,150,0.198808854,0.121324017,0.381680267,0.230716235,61.47183099,0.296933139,78.93896714,20.28826291,50,0.100665208,55.19624413,0.158483979,0.225902639,19.18356808,1.92207491,122.1150235,133.1192488,16.18356808,0.176340753,0.124400549,1.429310214,0.319865137,0.084655126,-0.077051758,9,0,"{""type"":""Point"",""coordinates"":[21.970851496831155,-32.89391448746377]}"
W_0169,65,Inland Saline Vegetation,Azonal Vegetation,2024,7,0.405662506,0.052763231,-0.086133622,0.009979487,0,20.89491046,0,494.8543827,0.244580203,0.04635591,0,0.10143805,0,0,0.043647935,0,5,157,0.227408221,0.246994451,0.411005313,0.247730147,55.18143261,0.327169107,79.10508954,22,48,0.10375696,57.05796418,0.085821545,0.25388788,19,2.144005412,129.700754,134.3916117,18.01932139,0.149808494,0.116378229,1.289028962,0.325949339,0.097025744,-0.047177733,9,0,"{""type"":""Point"",""coordinates"":[21.985290066042218,-32.97557400505552]}"
W_0170,90,Inland Saline Vegetation,Azonal Vegetation,2024,7,0.455449223,0.055294561,0.084774326,0.005205459,0,22,0,501.3827392,0.102935352,0.018056884,0.023269139,0.091599298,0,0.010203068,0.058646056,0,5,157,0.093723892,0.040673774,0.209470081,0.16806628,59,0.154163533,78,23,48,0.109847155,57,0.068538512,0.112224289,18,4.180576252,137.0103189,122,19,0.154873427,0.134692555,1.149911243,0.287845328,0.031850716,-0.079678132,9,0,"{""type"":""Point"",""coordinates"":[21.98627552737503,-32.97593965134191]}"
W_0193,45,Inland Saline Vegetation,Azonal Vegetation,2024,7,-0.33534205,0.060908559,0.156734058,0.034150328,0,18.9754717,0,875.7240566,0.099963857,-0.001967771,0.070588239,0.098156025,0,0.084670231,0.03093682,0.031372551,4,235,0.09614718,-0.05386511,0.188347679,0.201221693,56.97122642,0.147005085,81,19.97122642,53.98349057,0.139226926,60.04103774,0.108308385,0.112498234,17,1.371433311,128.2853774,164.8754717,15.01650943,0.230606963,0.200710891,1.151820002,0.373305893,0.034272016,-0.146438009,9,0,"{""type"":""Point"",""coordinates"":[22.745040621730436,-32.44394660016055]}"
