BareGround,BioRegion,Biome,ID,Month,Year,Notes,aspect,blue,bsi,calcite,chlorite,clay,dolomite,elevation,evi,exg,goethite,green,gypsum,hematite,illite_muscovite,kaolinite,landforms,meanAnnualPrecipitation,msavi,ndmi,ndvi,nir,nitrogen,osavi,ph,phosphorous,potassium,red,sand,satvi,savi,silt,slope,soc,soil_depth,stone,swir1,swir2,swirRatio,tc_bright,tc_green,tc_wet,vegType,vermiculite
66.7,Lower Karoo Bioregion,Nama-Karoo,F_0005,7,2024,Slope,0.982366056,0.050774894,0.188303459,3.20E-04,0,19.87701041,0,662.9025544,0.138139434,0.001633338,0.04383197,0.078299792,0,0.071898365,3.20E-04,0,4.140491958,288,0.127264896,-0.130764113,0.275752496,0.181046933,65.81740776,0.205330556,73.33491012,23.7166509,50.50946074,0.104312645,59.02932829,0.240537092,0.150510623,16.17455061,5.592993896,205.333491,198.90965,16.96736045,0.238033918,0.187653817,1.273327186,0.335879442,0.045133132,-0.165508319,6,0
52.7,Upper Karoo Bioregion,Nama-Karoo,F_0006,7,2024,Plain,-0.617196432,0.075676306,0.177859747,0.02012325,0,22.08380952,0,1285.414762,0.131598624,-0.008209997,0,0.125195283,0,0.072806726,0.02012325,0,5,377,0.133791785,-0.076165082,0.206769645,0.277979302,57.87809524,0.177894685,76.1447619,21.65333333,52.6952381,0.182924261,54.40761905,0.112347946,0.148532626,21.20190476,1.161323106,274.3771429,200,11.75428571,0.323871413,0.286919851,1.129645974,0.509088665,0.053066431,-0.218642707,4,0
79.6,Upper Karoo Bioregion,Nama-Karoo,F_0007,7,2024,Plain,0.56952022,0.057033568,0.166946928,0,0,21.5952381,0,1280,0.113018409,-0.017874358,0,0.100169783,0,0.147450984,0.03019608,0,5,375,0.117897515,-0.031147518,0.199746112,0.241682052,60.13761905,0.165850056,75.55619048,23.38190476,53.03095238,0.161180342,56.3647619,0.090337519,0.133711951,20.03095238,1.500984766,215.0414286,195.0480952,13.38761905,0.257237958,0.226788554,1.134872063,0.423822952,0.050794419,-0.162250357,4,0
50.5,Upper Karoo Bioregion,Nama-Karoo,F_0008,7,2024,Plain,0.648421073,0.04901192,0.222941473,0.040028834,0,24.67563671,0,1287.206151,0.1346841,-0.008613806,0,0.078703269,0,0.138942446,0.040028834,0,5,377,0.130165995,-0.157578697,0.261101984,0.199585528,63.33781836,0.201089879,78,22,53,0.117008425,56.00672753,0.243681483,0.151717356,20,1.430129476,272.9846228,198.6621816,10,0.274253472,0.217044126,1.264559914,0.373168855,0.048072719,-0.196982753,4,0
83.9,Bushmanland Bioregion,Nama-Karoo,F_0009,10,2024,Plain,-0.743607857,0.079800219,0.167204858,0.013065529,0.04509804,19.68436434,0,918.1490502,0.028657574,0.023753255,0.071676714,0.136422342,0,0,0.045883405,0,5,153,0.027297444,-0.044239943,0.051822662,0.187467569,55,0.041411299,82.31563566,19,51,0.169194971,60.01948368,-0.004529936,0.032234584,17.15684364,1.965845537,103.3443741,94.3312226,15.82367267,0.204218746,0.175554014,1.170618952,0.378888504,-0.00181231,-0.099406805,15,0
78.5,Bushmanland Bioregion,Nama-Karoo,F_0010,10,2024,Plain,0.507579116,0.08114449,0.213678768,0.033769593,0,19.42947164,0,905.0193892,0.042635127,-3.78E-04,0.107351992,0.130010497,0,0,0.034967639,0,5,151,0.042093883,-0.122898944,0.074464222,0.210045641,52.96849249,0.061150405,83.09258362,18.90305381,51.00581677,0.180629178,64.62772661,0.065511085,0.048800456,17.21958313,0.486502952,95.0610761,88.54241396,15.09258362,0.268966119,0.219445379,1.227957154,0.432772067,0.007139811,-0.157634405,15,0
87.1,Upper Karoo Bioregion,Nama-Karoo,F_0012,10,2024,Slope,-0.955311938,0.047134947,0.275391037,0,0,25.93975904,0,1043.070361,0.051604003,-0.009111164,0.131243569,0.075204946,0,0.133055523,0,0,4.700240964,186,0.0489022,-0.214652555,0.118385593,0.140369951,64.92,0.084976366,77.01975904,22.04,52.93975904,0.110860265,59.01975904,0.183586476,0.060174392,18,4.189632141,255.4477108,91.12048193,14.04,0.216535327,0.176305286,1.228944004,0.300269637,0.010951165,-0.153975857,1,0
74.2,Upper Karoo Bioregion,Nama-Karoo,F_0013,10,2024,Plain,0.48751855,0.062803453,0.24383996,0.006507654,0.035294119,17.93121693,0,1050.712362,0.071115637,-0.008241456,0.095998151,0.104256585,0,0.100659255,0,0,4,187,0.071212242,-0.159837162,0.133110206,0.204128769,60,0.105953932,78,21,53,0.155992342,62.53439153,0.131969592,0.082634845,19,2.749715274,133.2453102,85.46560847,14,0.282858039,0.254003524,1.11534085,0.420321819,0.018292783,-0.204038866,1,0
91.4,Upper Karoo Bioregion,Nama-Karoo,F_0014,10,2024,Plain,-0.702739089,0.067086357,0.22944331,0.003178462,0,23.25276309,0,1027.440173,0.046714137,0.002170938,0.073922393,0.114092671,0,0.059652694,0.043128686,0.002902074,5,184,0.045985474,-0.138343851,0.08723022,0.190689592,62.57280154,0.069846348,82.01297453,21.01297453,53,0.159788001,56.61412782,0.093911686,0.054408865,18.98702547,3.839895026,124.496396,88.38539164,13.33301297,0.251236133,0.214102955,1.180862346,0.396004696,0.007704092,-0.159046612,1,0
74.2,Lower Karoo Bioregion,Nama-Karoo,F_0015,11,2024,Slope,0.951629654,0.061051455,0.16315209,0,0,,0,1012.231206,0.070603584,0.011802831,0.024660455,0.099276031,0,0,0.065985263,0,5,302,0.06511314,-0.067707157,0.141064626,0.167012819,,0.10581856,,,,0.12569778,,0.094064735,0.078157488,,3.663305285,239.498818,,,0.191242889,0.157713302,1.212695748,0.319719248,0.01804302,-0.108863106,5,0
40.9,Lower Karoo Bioregion,Nama-Karoo,F_0016,11,2024,Plain,0.954099407,0.05607915,0.118572451,0.056862745,0,21.58106842,0,938.6865042,0.113477818,0.01489875,0,0.090273698,0,0,0.04509804,0,5,280,0.102900067,-0.023337722,0.226100878,0.1735947,73.40955951,0.167555581,73,24,50,0.109569498,57.1715089,0.131688869,0.122604683,17,2.05015743,313.6223055,129.1527648,15.40955951,0.181842524,0.142956188,1.271953967,0.303347924,0.036113712,-0.100364053,5,0
72,Lower Karoo Bioregion,Nama-Karoo,F_0017,11,2024,Slope,0.289775815,0.062248797,0.166123486,0,0,19.06233062,0,921.0443396,0.07420127,0.012364105,0.035497597,0.09867706,0,0,0.062397893,0,4,269,0.067430451,-0.083702364,0.147876079,0.165333607,71.87533875,0.110263167,74.06233062,24,50,0.12274122,61.87533875,0.112243988,0.081063748,16.93766938,7.855504514,238.9169811,104.1246612,19,0.195528105,0.158385648,1.234824354,0.318972589,0.018346678,-0.11348153,5,0
48.4,Upper Karoo Bioregion,Nama-Karoo,F_0018,11,2024,Slope,-0.979514647,0.064146772,0.217559076,0.074509807,0,25.98766603,0,1246.053605,0.072626565,-0.006655803,0.044537816,0.09111054,0,0.044444446,0,0,5,252,0.065880353,-0.169280449,0.144878723,0.165934025,70.05740038,0.107508662,71.04506641,28.91793169,51,0.124290136,51.01233397,0.164399211,0.079169904,19,10.93034157,547.9952562,159.1845351,14.01233397,0.234663966,0.193672723,1.218424362,0.341519406,0.016554345,-0.160559216,4,0
83.9,Upper Karoo Bioregion,Nama-Karoo,F_0019,11,2024,Plain,0.700879894,0.060675357,0.132350538,0.04053722,5.24E-04,21.08520823,0,1218.083293,0.065543299,-0.002745365,0,0.095217528,0,0.042742461,0.030883714,0.004600193,5.085208234,243.126855,0.061800595,0.0030062,0.125843109,0.171460756,67.17041647,0.097692053,73.82958353,25.08520823,50.91479177,0.132186188,52.82958353,0.024957914,0.073641326,19.17041647,2.836621655,237.3413116,154.1704165,16,0.170331879,0.151897306,1.118970829,0.31290902,0.020423404,-0.090376612,4,0
67.7,Upper Karoo Bioregion,Nama-Karoo,F_0020,11,2024,Plain,0.401934969,0.061948445,0.140222623,0.046460122,0.057954355,24.24833174,0,1198.613441,0.077352231,0.004121198,0.027045366,0.093301092,0,0.033745058,0.038269175,0,5,242,0.070195708,-0.038672946,0.153414846,0.165614625,70.18589133,0.114615737,73.2650143,25.81410867,50.81410867,0.121724322,48.45090562,0.077974048,0.084388055,19,2.181914015,241.6158246,152.8856053,15.2650143,0.178945935,0.152181329,1.175660111,0.307267473,0.021791477,-0.100626149,4,0
77.4,Upper Karoo Bioregion,Nama-Karoo,F_0021,11,2024,Slope,0.40488741,0.066595521,0.231277144,0.045555681,0,18.68045649,0,1388.603899,0.07143797,0.002216073,0.04818762,0.112671855,0,8.86E-04,0.045465862,0.034461508,4.547788873,216,0.070246328,-0.151359625,0.128945156,0.203483132,69.66524013,0.104229058,74.98478364,26.44032335,51.21398003,0.156529055,59.22634332,0.13004747,0.081894186,18.19876367,9.788547614,187.9010937,131.1626248,17.33475987,0.27603456,0.233752636,1.181109555,0.415924607,0.017987055,-0.185498081,2,0
62.4,Upper Karoo Bioregion,Nama-Karoo,F_0022,11,2024,Plain,1,0.056080142,0.193460501,0.035307619,0,25.29249763,0,1340.169991,0.066215008,0.006983605,0.044090648,0.095907966,0,0.039215688,0.030868855,0,5,207,0.063145373,-0.095261732,0.135134838,0.16874425,67,0.102037468,79.85375119,25,54,0.128557538,53.14624881,0.101398126,0.075686541,20,1.242381698,163.0826211,138.4387464,13,0.203332681,0.181888477,1.117939791,0.331241006,0.016055214,-0.130966364,1,0
61.3,Upper Karoo Bioregion,Nama-Karoo,F_0023,11,2024,Plain,0.84013412,0.077877079,0.255237605,0.039912503,0,16.68220742,0,1336.840152,0.084355602,-0.011140948,0.058414334,0.123113199,0,0.062815996,0.030817524,0,4,208,0.083972435,-0.193846534,0.140219568,0.238430121,61.97478592,0.117558878,79.89866794,22.85632731,53,0.179888661,65.72169363,0.145094849,0.095454576,17.94386299,0.921632611,164.5784967,129.2212179,13.90247383,0.349268544,0.310265429,1.129869026,0.501266935,0.020734025,-0.260565081,1,0
60.2,Upper Karoo Bioregion,Nama-Karoo,F_0024,11,2024,Slope,-0.236360081,0.072283233,0.261949073,0.045588236,0.042156864,19,0,1440.632438,0.077154447,-0.017541038,0.083986931,0.117707613,0,0.088235296,0.045938376,0,4,246,0.07879945,-0.189462261,0.131811956,0.235524345,58,0.110437355,77.14059501,23.14059501,53,0.180673025,58.71880998,0.139513634,0.08980738,19,2.452109898,193.7783109,166,15,0.345638735,0.300436419,1.150517599,0.493793976,0.021589818,-0.252399969,4,0
75.3,Upper Karoo Bioregion,Nama-Karoo,F_0025,11,2024,Plain,1,0.078262143,0.257998512,0.038913596,0.003696407,20,0,1421.670335,0.075015821,-0.015221296,0.083736483,0.12864691,0,0.083547262,0.039774214,0.017928511,5.00861244,243,0.077175534,-0.1830559,0.123700225,0.249088234,58.44784689,0.105428902,79,22,54.99138756,0.194252958,60.99138756,0.119020593,0.087189776,19,1.20770472,182.6019139,175.7913876,13.00861244,0.360677838,0.321077171,1.123449688,0.524608228,0.019314507,-0.263986337,4,0
62.4,Upper Karoo Bioregion,Nama-Karoo,F_0026,11,2024,Slope,-0.763637876,0.060067797,0.257673865,0,0,23,0,1413.337805,0.08637714,-0.010150795,0.055555556,0.098557009,0,0.059383754,0,0,5.117872544,246,0.085546321,-0.190749467,0.161099491,0.20374858,64.8495448,0.128355465,77.42213704,25.26784859,53.03689506,0.147197005,56.3085769,0.178982337,0.099665852,18.46046957,6.203620384,213.9573551,170.5510302,12.57259224,0.299799148,0.255706026,1.172402321,0.420318046,0.024848839,-0.22027068,4,0
62.4,Upper Karoo Bioregion,Nama-Karoo,F_0027,11,2024,Plain,-0.439386913,0.068770797,0.261221243,0.032321939,0,19.13655966,0,1281.497844,0.063194949,-0.01657062,0.122454285,0.117772554,0,0.016530906,0.032321939,0,5,244,0.065809576,-0.173144769,0.111118768,0.229035167,57.11212266,0.092858174,82.61475803,20.38524197,55.24868232,0.183204738,60.38524197,0.11960171,0.075324897,18.0287494,1.804761639,214.2146622,194,10.86344034,0.324921217,0.273468608,1.188177261,0.47616496,0.01865319,-0.223477521,4,0
72,Upper Karoo Bioregion,Nama-Karoo,F_0028,11,2024,Others,-0.84757467,0.070088904,0.281033409,0.034916985,0,18.56397875,0,1280.436021,0.083192829,-0.008090475,0.085991661,0.11934252,0,0.094428667,0.034916985,0.033333335,4,242,0.084846797,-0.221164677,0.142808267,0.235108243,54.56397875,0.119285586,80.56397875,21.87204249,55,0.176316768,63,0.170767682,0.096717724,18.56397875,2.810427152,206.8590053,194.3838725,12,0.368611436,0.314077049,1.173589704,0.504980393,0.02131489,-0.276283088,4,0
77.4,Upper Karoo Bioregion,Nama-Karoo,F_0029,11,2024,Plain,0.020415329,0.067401366,0.266493712,0,0,17,0,1264.072324,0.076756536,-0.02519434,0.109980714,0.121875855,0,0.109980714,0.044425852,0,5,241,0.083903429,-0.16691333,0.130359162,0.261852134,56.1340405,0.112399735,82,19,55,0.201490459,62.8659595,0.115902186,0.094049712,20.43297975,0.726068497,254.6060752,193.7627772,12,0.366695597,0.312211004,1.174616175,0.532353286,0.029559319,-0.258010462,4,0
96.8,Upper Karoo Bioregion,Nama-Karoo,F_0030,11,2024,Plain,-0.356808769,0.084614124,0.221259912,0.042156864,0,17.86208554,0,1251.603075,0.071767218,-0.031863368,0.067647062,0.16146132,0,0.133986935,0.033333335,0,5,258,0.084138477,-0.087505949,0.109366096,0.339556636,51.46516098,0.099827019,79.46516098,19.81547333,54.71936569,0.269841293,60.13791446,0.009114812,0.09023483,18.39692456,0.842582563,273.2325805,195.7457953,11.53483902,0.408795816,0.374126452,1.09705,0.661070109,0.034261696,-0.269893029,4,0
48.4,Upper Karoo Bioregion,Nama-Karoo,F_0031,11,2024,Plain,0.606072571,0.059734031,0.261566616,0.041050611,0,20.37026379,0,1260.465707,0.077209526,-0.007078426,0.04642251,0.100072638,0,0.048889136,0,0,5,260,0.076210388,-0.203524121,0.136680691,0.198991424,65.10935252,0.111302551,82.57985612,21.96019185,56.14532374,0.148157518,56.51031175,0.161912744,0.088131487,18.85467626,1.140830973,218.5160671,187.4398082,12.42014388,0.300554575,0.26447418,1.14558597,0.421867929,0.018184181,-0.227270954,4,0
62.4,Upper Karoo Bioregion,Nama-Karoo,F_0032,11,2024,Slope,0.576258305,0.057274787,0.24632241,0,0,23.24450812,0,1279.78128,0.068746374,-0.00840659,0.076677625,0.089367441,0,0.056862745,0,0,4,261,0.065578347,-0.181521725,0.139113605,0.172260996,70.43935053,0.105272135,77.19484241,25.0974212,54,0.130405172,55.70582617,0.166678746,0.0783815,20.07354346,6.73630208,216.1719198,175.5148042,13.07354346,0.24997615,0.212163762,1.177846018,0.358365228,0.016681551,-0.178173576,4,0
63.4,Lower Karoo Bioregion,Nama-Karoo,F_0033,11,2024,Slope,0.973404359,0.056316284,0.197645169,0,0,22.50071395,0,1130.036173,0.074471702,0.003694378,0.074202764,0.099209688,0,0.001272037,0,0,5,261,0.073126983,-0.090009422,0.146676376,0.185903193,69.67539267,0.113793066,75.30318896,25,52,0.138408722,54.99000476,0.110713377,0.086411247,18.80247501,10.63993503,311.3046168,167.2384579,15.42027606,0.222702441,0.180390566,1.233939657,0.355226671,0.024121895,-0.133273427,5,0
72,Lower Karoo Bioregion,Nama-Karoo,F_0034,11,2024,Plain,0.799436875,0.061163022,0.176815075,0.052661065,0,25.36350575,0,1107,0.066434922,0.003025464,0.027450982,0.097414804,0,0.037254903,0.038235296,0,5,261,0.062171766,-0.080856234,0.131987186,0.170391443,71.13745211,0.099983021,76.39415709,24,52.23515326,0.130641123,54,0.08761605,0.074420847,19.4683908,1.214867046,229.8433908,164.4066092,14.03065134,0.20042078,0.180621444,1.109584096,0.332909013,0.015839074,-0.126685714,5,0
76.3,Lower Karoo Bioregion,Nama-Karoo,F_0035,11,2024,Plain,0.485427629,0.084284116,0.237000023,0.042352941,0,19.61888942,0,1090.200759,0.084379195,-0.009641173,0.059383754,0.130288234,0,0.053921569,0.031372551,0,5,257,0.082974636,-0.17337044,0.135542647,0.244248587,60.95016611,0.114604072,79.48979592,21.13051732,54.62031324,0.185933525,59.58186996,0.118324952,0.094028972,20.86948268,1.044116139,196.4565733,184.6483151,14,0.34674381,0.322396792,1.075482103,0.513132349,0.018576916,-0.260164489,5,0
50.5,Upper Karoo Bioregion,Nama-Karoo,F_0036,11,2024,Slope,-0.710259258,0.055715126,0.240402806,0,0,24.91963861,0,1556.206847,0.115555667,0.001842494,0,0.081199149,0,0,0,0,4,410,0.103376305,-0.215973117,0.23352332,0.168614982,81.00618165,0.170637057,68.38991916,25.5235378,50.89966714,0.104731738,50.40941512,0.267490252,0.123598347,20.89966714,15.71107504,534.9129815,185.8169282,12.81074655,0.257221928,0.202864223,1.26700642,0.341026547,0.030083945,-0.188199654,2,0
35.5,Upper Karoo Bioregion,Nama-Karoo,F_0037,11,2024,Slope,0.804746922,0.061896441,0.27242816,0,0,24.38557095,0,1459.623507,0.092872518,-0.002843186,0,0.086822759,0,0,0,0,5,398,0.08248469,-0.261315743,0.185476859,0.165727556,70.05972289,0.135984429,72.24128046,25,53,0.114215384,54.78356426,0.258861141,0.099064393,20.75871954,3.199113169,318.0238892,191.6392738,12.92785475,0.282821829,0.229350472,1.221648699,0.363722661,0.018334861,-0.216735748,4,0
76.3,Upper Karoo Bioregion,Nama-Karoo,F_0038,11,2024,Plain,0.162586325,0.068433785,0.253694827,0,0,24,0,1396.011407,0.097293728,-0.007487275,0.031860883,0.103213281,0,0.080043617,0,0,5,389,0.093638384,-0.209572869,0.175079202,0.207405812,71.50760456,0.139726061,76.49239544,22.99429658,55,0.145605987,51.50760456,0.198884644,0.108316512,19.50380228,1.065194887,304.0988593,187.0570342,9.507604563,0.311483755,0.273838094,1.148686679,0.436010529,0.024842787,-0.236820231,4,0
33.3,Upper Karoo Bioregion,Nama-Karoo,F_0039,11,2024,Plain,0.79830624,0.065402929,0.281888267,0,0,21.77713178,0,1455.70688,0.097162334,-0.007285609,0,0.096509145,0,0,0,0,5,401,0.092244535,-0.252031041,0.184821805,0.195839956,62.33139535,0.142568131,74.46996124,20,53.14777132,0.137591583,54.86724806,0.235867602,0.108336295,18,1.245455306,260.0072674,200,11.15358527,0.333230992,0.287018536,1.165170506,0.432277688,0.022440389,-0.265899283,4,0
33.3,Upper Karoo Bioregion,Nama-Karoo,F_0040,11,2024,Plain,-0.159881139,0.059423779,0.299114257,0,0,23.21390633,0,1460.859488,0.096736378,-0.007009246,0,0.081505896,0,0,0,0,5,402,0.089100186,-0.289234062,0.194986385,0.161409513,70.72621922,0.141460651,74.21100917,23.5041043,53.29019797,0.110157015,55.91791405,0.28446728,0.105645956,17.99710285,2.826980932,246.2766779,190.3660068,11.5041043,0.300416778,0.250884795,1.199795089,0.369447663,0.021252127,-0.244882376,4,0
49.5,Upper Karoo Bioregion,Nama-Karoo,F_0041,11,2024,Slope,0.871073602,0.065217332,0.300626339,0,0,21.26564004,0,1521.018287,0.088828452,-0.005569749,0,0.093677133,0,0,0,0,4,419.5120308,0.081037352,-0.290344934,0.172820569,0.179613839,67.41385948,0.129507181,73.19345525,24.26564004,52.14821944,0.126566602,57.56400385,0.256862574,0.096768705,16.49566891,2.268896876,292.1761309,179.9692012,12.0452358,0.324026763,0.273078402,1.190241545,0.408958238,0.015440821,-0.259999465,4,0
73.1,Bushmanland Bioregion,Nama-Karoo,F_0042,11,2024,Plain,-0.587292084,0.085327122,0.240364106,0.04088168,0.04484873,13.02209131,0,899.4035346,0.088657717,-0.050570129,0,0.140414023,0,0.197586421,0.054680953,0.074249267,5,185,0.09884133,-0.130857855,0.135315194,0.32421332,42.56504664,0.122198225,80.31369661,20.00098184,50.12027491,0.246890187,68.33480609,0.070206924,0.107417117,14.78252332,1.372014432,102.1629848,154.8105056,16.00098184,0.421912919,0.366392316,1.161659032,0.632883,0.04262883,-0.28843466,12,0
96.8,Bushmanland Bioregion,Nama-Karoo,F_0043,11,2024,Plain,0.063959468,0.08256642,0.251448682,0.044058671,0,14,0,926,0.076533095,-0.055739092,0,0.142744582,0,0.195356162,0.060690107,0.07832957,5.436035156,193,0.08846509,-0.131728035,0.118071817,0.328631055,41.64160156,0.107681707,78.60839844,19,50,0.259313443,67,0.042870345,0.0957004,16.03320313,0.614406715,113.4179687,136.5419922,17,0.430163863,0.386792295,1.112281355,0.654071656,0.037637563,-0.29920187,12,0
77.4,Bushmanland Bioregion,Nama-Karoo,F_0044,11,2024,Slope,0.03982258,0.091700935,0.231335028,0.066013075,0.047712419,16.74755859,0,961.8330078,0.076976794,-0.015443062,0,0.141729902,0,0.101307191,0.059912857,0,4.756347656,197,0.077237658,-0.158109016,0.118431248,0.261691082,54.63671875,0.102759611,80,21.31835938,48.69042969,0.206809618,63.63671875,0.095466948,0.086439493,13.31835938,6.224572881,170.8574219,139.9316406,19.16015625,0.359944063,0.31730104,1.13368011,0.542158752,0.019731417,-0.251836419,12,0
36.6,Bushmanland Bioregion,Nama-Karoo,F_0045,11,2024,Plain,0,0.07263041,0.268348039,0.048498551,0.022021264,14,0,944,0.092460955,-0.026429983,0,0.118222204,0,0.137405722,0.047497585,0,5,194,0.09656162,-0.193614877,0.152897467,0.260395029,34.48950708,0.130710758,79.8579795,19.06881406,50.06881406,0.191072147,69.00439239,0.152703005,0.108445874,14,0,113.9853587,174.6349439,13.49389946,0.385229275,0.324576027,1.173178824,0.53665946,0.032611915,-0.283124723,12,0
83.9,Bushmanland Bioregion,Nama-Karoo,F_0046,11,2024,Plain,-0.532327968,0.094639176,0.247263631,0.048621188,0,15,0,958.7144963,0.080261185,-0.045412948,0,0.163583946,0,0.170848393,0.059663177,0.063941163,4,196,0.092354737,-0.134955668,0.117898585,0.353636176,33,0.109147043,72,18,51,0.278914791,73,0.039028772,0.098761486,13,1.143967622,133.568059,122,17,0.463503991,0.397512432,1.143931995,0.704056822,0.03862566,-0.312910417,12,0
